,BlockHeight,uusd_burnt,uluna_minted,spread,delta,lunaPool,terra_pool,usd_per_luna_price,usd_per_ust_price
200,7594542.0,132072.0,100853.18084501215,0.18465504848144876,5323889.202590183,45188435.52096033,55323889.20259018,1.0565237607094848,0.7571584057520891
201,7594543.0,132687.0,102361.77708888185,0.18494163193944071,5333524.071955458,45180567.15037726,55333524.07195546,1.0565237607094848,0.7536487737668187
202,7594544.0,132455.0,99719.20627444239,0.20459242136545452,6013561.847821312,44632048.338437155,56013561.84782131,1.0565237607094848,0.7549692341386683
203,7594545.0,132579.0,100401.29519017485,0.1999007838765819,5848902.914974363,44763636.69678627,55848902.91497436,1.0565237607094848,0.7542616894188775
204,7594546.0,132462.0,100883.51173536573,0.1953478943981818,5690580.223453365,44890895.19213085,55690580.223453365,1.0576829454775865,0.7549299049499028
205,7594547.0,134015.0,102523.57045749536,0.1908560087873555,5534938.645997522,45016705.89637319,55534938.645997524,1.0473707826701184,0.7461837453797251
206,7594548.0,133199.0,102949.32634962747,0.19048854335114554,5522760.4719448555,45026579.70803212,55522760.47194485,1.0473707826701184,0.7507553770179408
207,7594549.0,132325.0,101371.31102495488,0.19763197152085407,5769915.527250672,44827035.801738545,55769915.52725067,1.0473707826701184,0.7557137333353855
208,7594550.0,132378.0,101229.49699254145,0.1990752429075787,5820166.385837442,44786681.26353514,55820166.38583744,1.0473707826701184,0.7554120864113013
209,7594551.0,133329.0,101665.44049858979,0.2013634544209412,5899792.505309929,44722885.1477852,55899792.50530993,1.0462401366205152,0.7500199694109041
210,7594552.0,135069.0,102572.44390100647,0.20547714338235165,6043662.194153923,44608077.026429266,56043662.19415392,1.0474878633628106,0.7403604723294576
211,7594553.0,135069.0,101968.53540091346,0.20921304461173196,6176008.096360758,44502984.18697994,56176008.09636076,1.0474878633628106,0.7403604723294576
212,7594554.0,132795.0,100842.58191389266,0.2045530278627009,6011916.895906293,44633359.08760366,56011916.89590629,1.048588646141111,0.7530398605687649
213,7594555.0,131525.0,100030.20177427933,0.2025049697645793,5940484.97949256,44690352.62952198,55940484.97949256,1.048588646141111,0.7603110072683567
214,7594556.0,133126.0,98449.6870602716,0.2245449869481076,6729981.511076666,44068408.510090366,56729981.51107667,1.037557508441735,0.75116376562094
215,7594557.0,131990.0,99299.25930829538,0.21942047065668083,6543590.705591426,44213676.01178505,56543590.705591425,1.046521781858331,0.7576321054517543
216,7594558.0,131991.0,99085.32647185367,0.21437861357714735,6361824.297102775,44356264.74440626,56361824.29710278,1.046521781858331,0.7576236225081655
217,7594559.0,133227.0,100106.80997866906,0.21364320179070254,6334980.235386934,44377400.85385917,56334980.23538694,1.046521781858331,0.750598121380017
218,7594560.0,134064.0,101366.34144583426,0.20872057919833484,6159008.562181742,44516455.40059507,56159008.56218174,1.046521781858331,0.7459122658186615
219,7594561.0,132906.0,100029.32483449749,0.21235409038053882,6288939.482245807,44413698.730076976,56288939.4822458,1.0475034418237208,0.7524083665930954
220,7594562.0,133320.0,100809.8750739617,0.20793060973751717,6131312.842183332,44538420.24021254,56131312.84218333,1.0457532352108727,0.7500747432617257
221,7594563.0,132278.0,100077.28721563249,0.20881668246514629,6162963.118141937,44513320.90048579,56162963.118141934,1.0488855694256105,0.75598252577977
