,BlockHeight,uluna_burnt,uusd_minted,spread,delta,lunaPool,terra_pool,usd_per_luna_price,usd_per_ust_price
36,7594378.0,84551.0,94999.63756321202,0.05,3950025.6223030146,46339180.95798821,53950025.62230302,1.1827136105734006,0.775944783664697
37,7594379.0,84551.0,94999.63756321202,0.05,3947066.001612252,46341723.19816773,53947066.00161225,1.1827136105734006,0.7755233521924452
38,7594380.0,84551.0,94999.63756321202,0.05,4042858.7594744777,46259580.95826518,54042858.75947448,1.1827136105734006,0.7790139806617439
39,7594381.0,84778.0,95254.68975333216,0.05,3970108.1829987443,46321937.9053891,53970108.18299875,1.179550900360099,0.7736893857892345
40,7594382.0,82998.0,93005.34734668312,0.05,4027764.8671356975,46272504.630683206,54027764.867135696,1.2048446809020288,0.7923026713285684
41,7594383.0,82998.0,94999.71388423126,0.05,3915882.5097152614,46368526.000655144,53915882.50971526,1.2048446809020288,0.791682458572871
42,7594384.0,82998.0,94999.71388423126,0.05,4621864.769130626,45769217.33753893,54621864.769130625,1.2048446809020288,0.7966471851300174
43,7594385.0,82998.0,94999.71388423126,0.05,4642250.78609137,45752141.685868286,54642250.78609137,1.2048446809020288,0.7866832929844606
44,7594386.0,83466.0,95535.38782936029,0.05,4514043.853871845,45859742.24736289,54514043.853871845,1.1980897794194394,0.7711531622571629
45,7594387.0,83343.0,94859.77666184661,0.05,4390881.923949849,45963586.38743048,54390881.92394985,1.1998503985917968,0.7697300387978595
46,7594388.0,83343.0,94999.1751813443,0.05,4268912.981617909,46066889.17551759,54268912.98161791,1.1998503985917968,0.7697300387978595
47,7594389.0,83343.0,94999.1751813443,0.05,4573738.009545085,45809579.68396344,54573738.00954509,1.1998503985917968,0.7816807846104282
48,7594390.0,83343.0,94999.1751813443,0.05,4473502.373334155,45893873.00391023,54473502.373334154,1.1998503985917968,0.7807180678246732
49,7594391.0,83713.0,95420.92259644932,0.05,4494157.40664238,45876477.754205465,54494157.40664238,1.1945522936070758,0.773527479879268
50,7594392.0,84313.0,95680.47315434871,0.05,4513723.143822047,45860012.04511971,54513723.143822044,1.1860488679678705,0.7765782508762509
51,7594393.0,84313.0,94999.37129472633,0.05,4398171.128531085,45957427.39389238,54398171.12853108,1.1860488679678705,0.7743173658783482
52,7594394.0,84313.0,94999.37129472633,0.05,4455400.361772513,45909129.00082157,54455400.361772515,1.1860488679678705,0.7719925662866263
53,7594395.0,84313.0,94999.37129472633,0.05,4331954.920091766,46013437.27971601,54331954.92009176,1.1860488679678705,0.7671428592832241
