,BlockHeight,burnt_denom,tokens_burnt,minted_denom,tokens_minted,swap_amount,swap_fee_amount,spread,terraPool,lunaPool,delta,ukrw_oracle_price,usdr_oracle_price,uusd_oracle_price,usd_per_ust_price,usd_per_luna_price,expected_profit
0,7594342,uusd,3000.0,uluna,2268.16399020456,2075.3124039651116,192.85158623944844,0.08502541574256085,52272683.020531535,47826127.44438727,2272683.0205315375,1681.8250848472126,0.9873069185786856,1.3226556866946104,0.752964752551555,1.2077515498714506,247.56751470164454
1,7594342,uusd,48121.818196,uluna,36382.72505844592,33264.983472409534,3117.741586036385,0.08569291005629688,52308603.93669849,47793284.69605855,2308603.936698487,1681.8250848472126,0.9873069185786856,1.3226556866946104,0.752964752551555,1.2077515498714506,3941.802414968741
2,7594343,uusd,90.0,uluna,74.51863755387382,68.25329173603436,6.265345817839465,0.08407756802195808,52244543.05544828,47851887.56166735,2244543.0554482765,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7488666957533746,1.2077515498714506,15.035016260220047
3,7594343,uusd,10000.0,uluna,8279.848617097092,7582.608797404561,697.2398196925303,0.08420924728657443,52251988.1532597,47845069.4099386,2251988.1532597006,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7488666957533746,1.2077515498714506,1669.240569600509
4,7594343,uusd,500.0,uluna,413.9924308548546,379.07371905899186,34.91871179586275,0.08434625658193548,52252360.40815027,47844728.55335455,2252360.408150272,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7488666957533746,1.2077515498714506,83.39352383234495
5,7594343,uusd,195756.820911,uluna,162083.68429072664,147998.67539027453,14085.008900452101,0.08689960968056519,52398103.276043855,47711650.68379464,2398103.276043857,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7488666957533746,1.2077515498714506,32149.865934720117
6,7594344,uusd,3200.0,uluna,2649.5515574710694,2418.6132260944505,230.93833137661886,0.08716128988901191,52333871.7274534,47770209.1872661,2333871.7274534055,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7571100768869521,1.2077515498714506,498.3316263169154
7,7594344,uusd,3496.0,uluna,2894.635076537143,2642.0832575953127,252.55181894183053,0.08724824106116986,52336474.53364828,47767833.47133354,2336474.5336482795,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7571100768869521,1.2077515498714506,544.1233204533655
8,7594344,uusd,3000.0,uluna,2483.9545851291277,2267.0244139351776,216.93017119395037,0.08733258349112422,52338708.06299171,47765795.00187798,2338708.0629917067,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7571100768869521,1.2077515498714506,466.6720188657714
9,7594344,uusd,50.0,uluna,41.39924308548546,37.78210095682676,3.617142128658699,0.08737218023985724,52338745.288480766,47765761.02886106,2338745.288480764,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7571100768869521,1.2077515498714506,7.775887143659531
10,7594344,uusd,50.0,uluna,41.39924308548545,37.78204721418011,3.617195871305345,0.08737347839515286,52338782.51396982,47765727.05589247,2338782.513969821,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7571100768869521,1.2077515498714506,7.775822235894751
11,7594345,uusd,4060.0,uluna,3361.618538541419,3075.352564834964,286.26597370645516,0.08515718557128847,52276839.042737655,47822325.254902765,2276839.042737653,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7569849629619021,1.2077515498714506,640.902876955246
12,7594345,uusd,70501.0,uluna,58373.76073539621,53346.16540103903,5027.595334357183,0.08612765857500407,52329327.72681797,47774357.29828397,2329327.726817975,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7569849629619021,1.2077515498714506,11060.717069026578
13,7594345,uusd,90.0,uluna,74.51863755387382,68.03212676669412,6.486510787179694,0.08704548284971289,52329394.73269828,47774296.124962874,2329394.7326982776,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7569849629619021,1.2077515498714506,14.037259876954636
14,7594345,uusd,13573.542262,uluna,11238.687512712962,10258.416330231752,980.2711824812101,0.08722292361740179,52339500.367677085,47765071.93301193,2339500.3676770865,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7569849629619021,1.2077515498714506,2114.650835602113
15,7594345,uusd,40000.0,uluna,33119.39446838837,30207.599497938627,2911.7949704497396,0.08791812221171419,52369280.758922786,47737909.77784328,2369280.7589227837,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7569849629619021,1.2077515498714506,6203.876593055349
16,7594345,uusd,205254.836068,uluna,169947.89705701201,154467.51272730366,15480.384329708355,0.09108900196932232,52522094.9920022,47599015.24074178,2522094.9920021943,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7569849629619021,1.2077515498714506,31183.553422502766
17,7594346,uusd,5000.0,uluna,4139.924308548546,3761.6369176862017,378.287390862344,0.09137543652216465,52455759.346685626,47659209.0389396,2455759.3466856233,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7555577942458667,1.2058394882034635,758.1413644006502
18,7594346,uusd,700.0,uluna,579.5894031967964,526.5865642511295,53.002838945666845,0.0914489441203086,52456280.503532425,47658735.541336164,2456280.503532423,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7555577942458667,1.2058394882034635,106.08841715929566
19,7594346,uusd,2970.0,uluna,2459.1150392778363,2234.115193368444,224.9998459093921,0.09149626687471578,52458491.697582416,47656726.66328708,2458491.6975824162,1544.1914032290251,0.8991828420692162,1.2077515498714506,0.7555577942458667,1.2058394882034635,449.9776724487624
